number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
57,Fabaceae,Acacia,dealbata,Acacia dealbata,Ph.th.end.,AM,149,30,,,,ok
58,Euphorbiaceae,Acalypha,wilkesiana,Acalypha wilkesiana,no,no,154,0,,,,ok
59,Caryophyllaceae,Acanthophyllum,borsczowi,Acanthophyllum borsczowi,no,no,52,0,,,,ok
60,Caryophyllaceae,Acanthophyllum,borsczowi,Acanthophyllum borsczowi,no,no,70,0,,,,ok
61,Caryophyllaceae,Acanthophyllum,korolkowi,Acanthophyllum korolkowi,no,no,52,0,,,,ok
62,Caryophyllaceae,Acanthophyllum,krascheninnikovii,Acanthophyllum krascheninnikovii,no,no,80,0,,,,ok
63,Caryophyllaceae,Acanthophyllum,paniculatum,Acanthophyllum paniculatum,no,no,83,0,,,,ok
64,Sapindaceae,Acer,barbinerve,Acer barbinerve,Ecto,Ectomycorrhiza ,28,,+,,,ok
65,Sapindaceae,Acer,buergerianum,Acer buergerianum,Ph.th.end.,AM,149,100,,,,ok
66,Sapindaceae,Acer,campestre,Acer campestre,Ph.th.end.,AM,133,100,,,,ok
67,Sapindaceae,Acer,campestre,Acer campestre,Ph.th.end.,AM,145,62,,,,ok
68,Sapindaceae,Acer,campestre,Acer campestre,Ph.th.end.,AM,147,,+,,,ok
69,Sapindaceae,Acer,campestre,Acer campestre,Ph.th.end.,AM,152,,+,,,ok
70,Sapindaceae,Acer,campestre,Acer campestre,no,no,50,,-,,,ok
71,Sapindaceae,Acer,davidii,Acer davidii,Ph.th.end.,AM,149,100,,,,ok
72,Sapindaceae,Acer,ginnala,Acer ginnala,Ph.th.end.,AM,28,,+,,,ok
73,Sapindaceae,Acer,ginnala,Acer ginnala,Ph.th.end.,AM,146,66,,,,ok
74,Sapindaceae,Acer,ginnala,Acer ginnala,Ph.th.end.,AM,147,,+,,,ok
75,Sapindaceae,Acer,laetum,Acer laetum,Ph.th.end.,AM,134,80,,,,ok
76,Sapindaceae,Acer,mandshuricum,Acer mandshuricum,Ecto,Ectomycorrhiza ,28,,+,,,ok
77,Sapindaceae,Acer,mono,Acer mono,Ph.th.end.,AM,147,,+,,,ok
78,Sapindaceae,Acer,mono,Acer mono,Ph.th.end.,AM,152,,+,,,ok
79,Sapindaceae,Acer,mono,Acer mono,no,no,28,,-,,,ok
80,Sapindaceae,Acer,negundo,Acer negundo,Ph.th.end.,AM,81,40,,,,ok
81,Sapindaceae,Acer,negundo,Acer negundo,Ph.th.end.,AM,146,96,,,,ok
82,Sapindaceae,Acer,negundo,Acer negundo,Ph.th.end.,AM,147,,+,,,ok
83,Sapindaceae,Acer,negundo,Acer negundo,Ph.th.end.,AM,149,100,,,,ok
84,Sapindaceae,Acer,negundo,Acer negundo,Ph.th.end.,AM,152,,+,,,ok
85,Sapindaceae,Acer,negundo,Acer negundo,Ph.th.end.,AM,153,,+,,,ok
86,Sapindaceae,Acer,negundo,Acer negundo,no,no,27,,-,,,ok
87,Sapindaceae,Acer,negundo,Acer negundo,no,no,50,,-,,,ok
88,Sapindaceae,Acer,platanoides,Acer platanoides,Ph.th.end.,AM,95,100,,,,ok
89,Sapindaceae,Acer,platanoides,Acer platanoides,Ph.th.end.,AM,146,76,,,,ok
90,Sapindaceae,Acer,platanoides,Acer platanoides,Ph.th.end.,AM,147,,+,,,ok
91,Sapindaceae,Acer,platanoides,Acer platanoides,Ph.th.end.,AM,152,,+,,,ok
92,Sapindaceae,Acer,platanoides,Acer platanoides,no,no,50,0,,,,ok
93,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,Ph.th.end.,AM,134,100,,,,ok
94,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,Ph.th.end.,AM,141,64,,,,ok
95,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,Ph.th.end.,AM,153,,+,,,ok
96,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,no,no,50,0,,,,ok
97,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,no,no,152,0,,,,ok
98,Sapindaceae,Acer,pseudosieboldianum,Acer pseudosieboldianum,Ph.th.end.,AM,141,74,,,,ok
99,Sapindaceae,Acer,pseudosieboldianum,Acer pseudosieboldianum,Ph.th.end.,AM,147,,+,,,ok
100,Sapindaceae,Acer,pseudosieboldianum,Acer pseudosieboldianum,no,no,28,,-,,,ok
101,Sapindaceae,Acer,pubescens,Acer pubescens,Ph.th.end.,AM,136,84,,,,ok
102,Sapindaceae,Acer,rubrum,Acer rubrum,VAM,AM,153,,+,,,ok
103,Sapindaceae,Acer,rubrum,Acer rubrum,Ph.th.end.,AM,154,,+,,,ok
104,Sapindaceae,Acer,saccharinum,Acer saccharinum,Ph.th.end.,AM,141,70,,,,ok
105,Sapindaceae,Acer,saccharum,Acer saccharum,Ph.th.end.,AM,152,,+,,,ok
106,Sapindaceae,Acer,saccharum,Acer saccharum,Ph.th.end.,AM,153,,+,,,ok
107,Sapindaceae,Acer,semenovii,Acer semenovii,Ph.th.end.,AM,147,,+,,,ok
108,Sapindaceae,Acer,spicatum,Acer spicatum,Ph.th.end.,AM,147,,+,,,ok
109,Sapindaceae,Acer,spicatum,Acer spicatum,Ph.th.end.,AM,149,100,,,,ok
