number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
1304,Ranunculaceae,Caltha,arctica,Caltha arctica,no,no,1,,-,,,ok
1305,Ranunculaceae,Caltha,palustris,Caltha palustris,VAM,AM,3,,+,,,ok
1306,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,26,60,,,,ok
1307,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,27,60,,,,ok
1308,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,84,54,,,,ok
1309,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,88,32,,,,ok
1310,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,89,50,,,,ok
1311,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,91,30,,,,ok
1312,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,125,20,,,,ok
1313,Ranunculaceae,Caltha,palustris,Caltha palustris,Ph.th.end.,AM,127,20,,,,ok
1314,Ranunculaceae,Caltha,palustris,Caltha palustris,no,no,10,0,,,,ok
1315,Ranunculaceae,Caltha,palustris,Caltha palustris,no,no,34,0,,,,ok
1316,Ranunculaceae,Caltha,palustris,Caltha palustris,no,no,36,0,,,,ok
1317,Ranunculaceae,Caltha,palustris,Caltha palustris,no,no,39,0,,,,ok
1318,Orchidaceae,Calypso,bulbosa,Calypso bulbosa,E.t.end.,Orchid,153,,+,,,ok
1319,Brassicaceae,Camelina,microcarpa,Camelina microcarpa,no,no,49,0,,,,ok
1320,Campanulaceae,Campanula,altaica,Campanula altaica,Ph.th.end.,AM,43,60,,,,ok
1321,Campanulaceae,Campanula,altaica,Campanula altaica,Ph.th.end.,AM,44,60,,,,ok
1322,Campanulaceae,Campanula,annae,Campanula annae,no,no,130,0,,,,ok
1323,Campanulaceae,Campanula,aucheri,Campanula aucheri,Ph.th.end.,AM,150,48,,,,ok
1324,Campanulaceae,Campanula,bellidifolia,Campanula bellidifolia,Ph.th.end.,AM,110,25,,,,ok
1325,Campanulaceae,Campanula,bellidifolia,Campanula bellidifolia,Ph.th.end.,AM,115,45,,,,ok
1326,Campanulaceae,Campanula,bellidifolia,Campanula bellidifolia,Ph.th.end.,AM,121,25,,,,ok
1327,Campanulaceae,Campanula,bellidifolia,Campanula bellidifolia,Ph.th.end.,AM,123,90,,,,ok
1328,Campanulaceae,Campanula,bellidifolia,Campanula bellidifolia,Ph.th.end.,AM,126,60,,,,ok
1329,Campanulaceae,Campanula,bellidifolia,Campanula bellidifolia,Ph.th.end.,AM,127,45,,,,ok
1330,Campanulaceae,Campanula,circassica,Campanula circassica,no,no,131,0,,,,ok
1331,Campanulaceae,Campanula,collina,Campanula collina,Ph.th.end.,AM,120,80,,,,ok
1332,Campanulaceae,Campanula,collina,Campanula collina,Ph.th.end.,AM,121,30,,,,ok
1333,Campanulaceae,Campanula,collina,Campanula collina,Ph.th.end.,AM,130,60,,,,ok
1334,Campanulaceae,Campanula,collina,Campanula collina,no,no,109,0,,,,ok
1335,Campanulaceae,Campanula,collina,Campanula collina,no,no,110,0,,,,ok
1336,Campanulaceae,Campanula,collina,Campanula collina,no,no,124,0,,,,ok
1337,Campanulaceae,Campanula,darialica,Campanula darialica,Ph.th.end.,AM,107,60,,,,ok
1338,Campanulaceae,Campanula,darialica,Campanula darialica,Ph.th.end.,AM,112,30,,,,ok
1339,Campanulaceae,Campanula,darialica,Campanula darialica,Ph.th.end.,AM,121,30,,,,ok
1340,Campanulaceae,Campanula,darialica,Campanula darialica,Ph.th.end.,AM,126,30,,,,ok
1341,Campanulaceae,Campanula,fragilis,Campanula fragilis,Ph.th.end.,AM,154,,+,,,ok
1342,Campanulaceae,Campanula,glomerata,Campanula glomerata,Ph.th.end.,AM,21,96,,,,ok
1343,Campanulaceae,Campanula,glomerata,Campanula glomerata,Ph.th.end.,AM,38,62,,,,ok
1344,Campanulaceae,Campanula,glomerata,Campanula glomerata,Ph.th.end.,AM,39,99,,,,ok
1345,Campanulaceae,Campanula,glomerata,Campanula glomerata,no,no,37,0,,,,ok
1346,Campanulaceae,Campanula,grossheimii,Campanula grossheimii,Ph.th.end.,AM,109,25,,,,ok
1347,Campanulaceae,Campanula,hohenackeri,Campanula hohenackeri,Ph.th.end.,AM,101,20,,,,ok
1348,Campanulaceae,Campanula,hohenackeri,Campanula hohenackeri,no,no,102,0,,,,ok
1349,Campanulaceae,Campanula,latifolia,Campanula latifolia,Ph.th.end.,AM,85,42,,,,ok
1350,Campanulaceae,Campanula,latifolia,Campanula latifolia,Ph.th.end.,AM,86,34,,,,ok
1351,Campanulaceae,Campanula,latifolia,Campanula latifolia,Ph.th.end.,AM,91,6,,,,ok
1352,Campanulaceae,Campanula,latifolia,Campanula latifolia,Ph.th.end.,AM,96,50,,,,ok
1353,Campanulaceae,Campanula,latifolia,Campanula latifolia,Ph.th.end.,AM,124,30,,,,ok
1354,Campanulaceae,Campanula,ochroleuca,Campanula ochroleuca,Ph.th.end.,AM,106,30,,,,ok
1355,Campanulaceae,Campanula,ochroleuca,Campanula ochroleuca,Ph.th.end.,AM,107,30,,,,ok
1356,Campanulaceae,Campanula,patula,Campanula patula,Ph.th.end.,AM,21,66,,,,ok
1357,Campanulaceae,Campanula,patula,Campanula patula,Ph.th.end.,AM,31,66,,,,ok
1358,Campanulaceae,Campanula,patula,Campanula patula,Ph.th.end.,AM,37,33,,,,ok
1359,Campanulaceae,Campanula,rapunculoides,Campanula rapunculoides,Ph.th.end.,AM,97,100,,,,ok
1360,Campanulaceae,Campanula,rapunculoides,Campanula rapunculoides,Ph.th.end.,AM,105,25,,,,ok
1361,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,VAM,AM,3,,+,,,ok
1362,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,Ph.th.end.,AM,21,22,,,,ok
1363,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,Ph.th.end.,AM,25,98,,,,ok
1364,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,Ph.th.end.,AM,36,40,,,,ok
1365,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,Ph.th.end.,AM,90,20,,,,ok
1366,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,Ph.th.end.,AM,92,8,,,,ok
1367,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,Ph.th.end.,AM,93,20,,,,ok
1368,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,no,no,37,0,,,,ok
1369,Campanulaceae,Campanula,saxifraga,Campanula saxifraga,no,no,131,0,,,,ok
1370,Campanulaceae,Campanula,sibirica,Campanula sibirica,Ph.th.end.,AM,25,94,,,,ok
1371,Campanulaceae,Campanula,sibirica,Campanula sibirica,Ph.th.end.,AM,42,40,,,,ok
1372,Campanulaceae,Campanula,sibirica,Campanula sibirica,Ph.th.end.,AM,43,40,,,,ok
1373,Campanulaceae,Campanula,sibirica,Campanula sibirica,Ph.th.end.,AM,44,60,,,,ok
1374,Campanulaceae,Campanula,sibirica,Campanula sibirica,Ph.th.end.,AM,45,60,,,,ok
1375,Campanulaceae,Campanula,trachelium,Campanula trachelium,Ph.th.end.,AM,25,86,,,,ok
1376,Campanulaceae,Campanula,trachelium,Campanula trachelium,Ph.th.end.,AM,145,56,,,,ok
1377,Campanulaceae,Campanula,trautvetteri,Campanula trautvetteri,Ph.th.end.,AM,113,30,,,,ok
1378,Campanulaceae,Campanula,trautvetteri,Campanula trautvetteri,Ph.th.end.,AM,116,25,,,,ok
1379,Campanulaceae,Campanula,trautvetteri,Campanula trautvetteri,Ph.th.end.,AM,117,45,,,,ok
1380,Campanulaceae,Campanula,trautvetteri,Campanula trautvetteri,Ph.th.end.,AM,124,45,,,,ok
1381,Campanulaceae,Campanula,trautvetteri,Campanula trautvetteri,no,no,109,0,,,,ok
1382,Campanulaceae,Campanula,trautvetteri,Campanula trautvetteri,no,no,110,0,,,,ok
1383,Campanulaceae,Campanula,trautvetteri,Campanula trautvetteri,no,no,130,0,,,,ok
1384,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,96,80,,,,ok
1385,Campanulaceae,Campanula,tridentata,Campanula tridentata,VAM,AM,96,,+,,,ok
1386,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,101,80,,,,ok
1387,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,111,20,,,,ok
1388,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,117,20,,,,ok
1389,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,128,15,,,,ok
1390,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,129,15,,,,ok
1391,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,131,85,,,,ok
1392,Campanulaceae,Campanula,tridentata,Campanula tridentata,Ph.th.end.,AM,131,85,,,,ok
1393,Cannabaceae,Cannabis,sativa,Cannabis sativa,Ph.th.end.,AM,81,80,,,,ok
1394,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,no,no,3,,-,,,ok
1395,Fabaceae,Caragana,arborescens,Caragana arborescens,Ph.th.end.,AM,27,100,,,,ok
1396,Fabaceae,Caragana,arborescens,Caragana arborescens,Ph.th.end.,AM,145,100,,,,ok
1397,Fabaceae,Caragana,arborescens,Caragana arborescens,Ph.th.end.,AM,147,,+,,,ok
1398,Fabaceae,Caragana,arborescens,Caragana arborescens,no,no,50,,-,,,ok
1399,Fabaceae,Caragana,pygmaea,Caragana pygmaea,Ph.th.end.,AM,49,46,,,,ok
1400,Fabaceae,Caragana,spinosa,Caragana spinosa,Ph.th.end.,AM,146,30,,,,ok
1401,Fabaceae,Caragana,turkestanica,Caragana turkestanica,Ph.th.end.,AM,147,,+,,,ok
1402,Brassicaceae,Cardamine,amara,Cardamine amara,no,no,10,0,,,,ok
1403,Brassicaceae,Cardamine,amara,Cardamine amara,no,no,34,0,,,,ok
1404,Brassicaceae,Cardamine,amara,Cardamine amara,no,no,153,,-,,,ok
1405,Brassicaceae,Cardamine,bellidifolia,Cardamine bellidifolia,no,no,1,,-,,,ok
1406,Brassicaceae,Cardamine,bulbifera,Cardamine bulbifera,no,no,153,,-,,,note that generic name may have changed
1407,Brassicaceae,Cardamine,impatiens,Cardamine impatiens,no,no,153,,-,,,ok
1408,Brassicaceae,Cardamine,microphylla,Cardamine microphylla,no,no,131,0,,,,note that generic name may have changed
1409,Brassicaceae,Cardamine,opicii,Cardamine opicii,no,no,153,,-,,,ok
1410,Brassicaceae,Cardamine,pratensis,Cardamine pratensis,no,no,1,,-,,,ok
1411,Brassicaceae,Cardamine,pratensis,Cardamine pratensis,no,no,3,,-,,,ok
1412,Brassicaceae,Cardamine,quinquefolia,Cardamine quinquefolia,Ps.end.,DS,127,,+,,,note that generic name may have changed
1413,Brassicaceae,Cardamine,raphanifolia,Cardamine raphanifolia,no,no,153,,-,,,ok
1414,Brassicaceae,Cardamine,uliginosa,Cardamine uliginosa,Ps.end.,DS,111,,+,,,ok
1415,Brassicaceae,Cardamine,uliginosa,Cardamine uliginosa,no,no,96,0,,,,ok
1416,Brassicaceae,Cardamine,uliginosa,Cardamine uliginosa,no,no,107,0,,,,ok
1417,Brassicaceae,Cardamine,uliginosa,Cardamine uliginosa,no,no,125,0,,,,ok
1418,Asteraceae,Carduus,nutans,Carduus nutans,Ph.th.end.,AM,107,30,,20,40,ok
1419,Asteraceae,Carduus,thoermeri,Carduus thoermeri,Ph.th.end.,AM,98,100,,,,ok
1420,Cyperaceae,Carex,acuta,Carex acuta,no,no,24,0,,,,ok
1421,Cyperaceae,Carex,acuta,Carex acuta,no,no,34,0,,,,ok
1422,Cyperaceae,Carex,acuta,Carex acuta,no,no,39,0,,,,ok
1423,Cyperaceae,Carex,alba,Carex alba,no,no,25,0,,,,ok
1424,Cyperaceae,Carex,aquatilis,Carex aquatilis,no,no,3,,-,,,ok
1425,Cyperaceae,Carex,aquatilis,Carex aquatilis,no,no,14,0,,,,ok
1426,Cyperaceae,Carex,aquatilis,Carex aquatilis,no,no,153,,-,,,ok
1427,Cyperaceae,Carex,arenaria,Carex arenaria,no,no,153,,-,,,ok
1428,Cyperaceae,Carex,aristata,Carex aristata,no,no,10,0,,,,ok
1429,Cyperaceae,Carex,aristata,Carex aristata,no,no,14,0,,,,ok
1430,Cyperaceae,Carex,atrata,Carex atrata,no,no,39,0,,,,ok
1431,Cyperaceae,Carex,atrata,Carex atrata,no,no,131,0,,,,ok
1432,Cyperaceae,Carex,bostrychostigma,Carex bostrychostigma,no,no,145,0,,,,ok
1433,Cyperaceae,Carex,brunnescens,Carex brunnescens,no,no,90,0,,,,ok
1434,Cyperaceae,Carex,brunnescens,Carex brunnescens,no,no,92,0,,,,ok
1435,Cyperaceae,Carex,brunnescens,Carex brunnescens,no,no,93,0,,,,ok
1436,Cyperaceae,Carex,brunnescens,Carex brunnescens,no,no,94,0,,,,ok
1437,Cyperaceae,Carex,buschiorum,Carex buschiorum,no,no,106,0,,,,ok
1438,Cyperaceae,Carex,canescens,Carex canescens,no,no,10,0,,,,ok
1439,Cyperaceae,Carex,canescens,Carex canescens,no,no,14,0,,,,ok
1440,Cyperaceae,Carex,canescens,Carex canescens,no,no,20,0,,,,ok
1441,Cyperaceae,Carex,canescens,Carex canescens,no,no,24,0,,,,ok
1442,Cyperaceae,Carex,canescens,Carex canescens,no,no,34,0,,,,ok
1443,Cyperaceae,Carex,canescens,Carex canescens,no,no,39,0,,,,ok
1444,Cyperaceae,Carex,capillaris,Carex capillaris,no,no,153,,-,,,ok
1445,Cyperaceae,Carex,capitata,Carex capitata,no,no,99,0,,,,ok
1446,Cyperaceae,Carex,capitata,Carex capitata,no,no,101,0,,,,ok
1447,Cyperaceae,Carex,caucasica,Carex caucasica,Endo,Endo-unidentified,120,30,,,,ok
1448,Cyperaceae,Carex,cespitosa,Carex cespitosa,no,no,10,0,,,,ok
1449,Cyperaceae,Carex,cespitosa,Carex cespitosa,no,no,14,0,,,,ok
1450,Cyperaceae,Carex,cespitosa,Carex cespitosa,no,no,20,0,,,,ok
1451,Cyperaceae,Carex,cespitosa,Carex cespitosa,no,no,23,0,,,,ok
1452,Cyperaceae,Carex,cespitosa,Carex cespitosa,no,no,24,0,,,,ok
1453,Cyperaceae,Carex,colchica,Carex colchica,no,no,145,0,,,,ok
1454,Cyperaceae,Carex,concolor,Carex concolor,no,no,1,0,,,,ok
1455,Cyperaceae,Carex,concolor,Carex concolor,no,no,2,0,,,,ok
1456,Cyperaceae,Carex,contigua,Carex contigua,no,no,39,0,,,,ok
1457,Cyperaceae,Carex,contigua,Carex contigua,no,no,145,0,,,,ok
1458,Cyperaceae,Carex,curta,Carex curta,no,no,153,,-,,,ok
1459,Cyperaceae,Carex,diandra,Carex diandra,no,no,153,,-,,,ok
1460,Cyperaceae,Carex,digitata,Carex digitata,no,no,34,0,,,,ok
1461,Cyperaceae,Carex,digitata,Carex digitata,no,no,36,0,,,,ok
1462,Cyperaceae,Carex,digitata,Carex digitata,no,no,39,0,,,,ok
1463,Cyperaceae,Carex,diluta,Carex diluta,no,no,142,0,,,,ok
1464,Cyperaceae,Carex,dioica,Carex dioica,no,no,39,0,,,,ok
1465,Cyperaceae,Carex,dioica,Carex dioica,no,no,145,0,,,,ok
1466,Cyperaceae,Carex,dioica,Carex dioica,no,no,153,,-,,,ok
1467,Cyperaceae,Carex,distans,Carex distans,no,no,39,0,,,,ok
1468,Cyperaceae,Carex,echinata,Carex echinata,no,no,39,0,,,,ok
1469,Cyperaceae,Carex,echinata,Carex echinata,no,no,145,0,,,,ok
1470,Cyperaceae,Carex,elongata,Carex elongata,no,no,39,0,,,,ok
1471,Cyperaceae,Carex,enervis,Carex enervis,no,no,39,0,,,,ok
1472,Cyperaceae,Carex,ericetorum,Carex ericetorum,no,no,21,0,,,,ok
1473,Cyperaceae,Carex,ericetorum,Carex ericetorum,no,no,22,0,,,,ok
1474,Cyperaceae,Carex,ericetorum,Carex ericetorum,no,no,33,0,,,,ok
1475,Cyperaceae,Carex,ericetorum,Carex ericetorum,no,no,39,0,,,,ok
1476,Cyperaceae,Carex,firma,Carex firma,no,no,39,0,,,,ok
1477,Cyperaceae,Carex,fuliginosa,Carex fuliginosa,no,no,153,,-,,,ok
1478,Cyperaceae,Carex,fusca,Carex fusca,no,no,107,0,,,,ok
1479,Cyperaceae,Carex,globularis,Carex globularis,no,no,3,,-,,,ok
1480,Cyperaceae,Carex,globularis,Carex globularis,no,no,6,0,,,,ok
1481,Cyperaceae,Carex,globularis,Carex globularis,no,no,8,0,,,,ok
1482,Cyperaceae,Carex,globularis,Carex globularis,no,no,9,0,,,,ok
1483,Cyperaceae,Carex,globularis,Carex globularis,no,no,10,0,,,,ok
1484,Cyperaceae,Carex,globularis,Carex globularis,no,no,13,0,,,,ok
1485,Cyperaceae,Carex,globularis,Carex globularis,no,no,14,0,,,,ok
1486,Cyperaceae,Carex,globularis,Carex globularis,no,no,17,0,,,,ok
1487,Cyperaceae,Carex,globularis,Carex globularis,no,no,34,0,,,,ok
1488,Cyperaceae,Carex,globularis,Carex globularis,no,no,36,0,,,,ok
1489,Cyperaceae,Carex,globularis,Carex globularis,no,no,39,0,,,,ok
1490,Cyperaceae,Carex,globularis,Carex globularis,no,no,153,,-,,,ok
1491,Cyperaceae,Carex,goodenoughii,Carex goodenoughii,no,no,36,0,,,,ok
1492,Cyperaceae,Carex,goodenoughii,Carex goodenoughii,no,no,39,0,,,,ok
1493,Cyperaceae,Carex,griffithii,Carex griffithii,no,no,144,0,,,,ok
1494,Cyperaceae,Carex,heleonastes,Carex heleonastes,no,no,153,,-,,,ok
1495,Cyperaceae,Carex,hirta,Carex hirta,Ps.end.,DS,95,,+,,,ok
1496,Cyperaceae,Carex,hirta,Carex hirta,no,no,97,0,,,,ok
1497,Cyperaceae,Carex,huetiana,Carex huetiana,no,no,101,0,,,,ok
1498,Cyperaceae,Carex,humilis,Carex humilis,Ps.end.,DS,97,30,,,,ok
1499,Cyperaceae,Carex,humilis,Carex humilis,Ps.end.,DS,101,35,,,,ok
1500,Cyperaceae,Carex,humilis,Carex humilis,no,no,95,0,,,,ok
1501,Cyperaceae,Carex,humilis,Carex humilis,no,no,96,0,,,,ok
1502,Cyperaceae,Carex,humilis,Carex humilis,no,no,99,0,,,,ok
1503,Cyperaceae,Carex,humilis,Carex humilis,no,no,100,0,,,,ok
1504,Cyperaceae,Carex,humilis,Carex humilis,no,no,153,,-,,,ok
1505,Cyperaceae,Carex,hyperborea,Carex hyperborea,no,no,1,,-,,,ok
1506,Cyperaceae,Carex,hyperborea,Carex hyperborea,no,no,3,,-,,,ok
1507,Cyperaceae,Carex,hyperborea,Carex hyperborea,no,no,4,,-,,,ok
1508,Cyperaceae,Carex,hyperborea,Carex hyperborea,no,no,5,0,,,,ok
1509,Cyperaceae,Carex,hyperborea,Carex hyperborea,no,no,6,0,,,,ok
1510,Cyperaceae,Carex,lasiocarpa,Carex lasiocarpa,no,no,34,0,,,,ok
1511,Cyperaceae,Carex,lasiocarpa,Carex lasiocarpa,no,no,36,0,,,,ok
1512,Cyperaceae,Carex,lasiocarpa,Carex lasiocarpa,no,no,39,0,,,,ok
1513,Cyperaceae,Carex,laxa,Carex laxa,no,no,14,0,,,,ok
1514,Cyperaceae,Carex,leporina,Carex leporina,no,no,31,0,,,,ok
1515,Cyperaceae,Carex,leporina,Carex leporina,no,no,34,0,,,,ok
1516,Cyperaceae,Carex,leporina,Carex leporina,no,no,35,0,,,,ok
1517,Cyperaceae,Carex,leporina,Carex leporina,no,no,37,0,,,,ok
1518,Cyperaceae,Carex,leporina,Carex leporina,no,no,39,0,,,,ok
1519,Cyperaceae,Carex,limosa,Carex limosa,no,no,10,0,,,,ok
1520,Cyperaceae,Carex,limosa,Carex limosa,no,no,14,0,,,,ok
1521,Cyperaceae,Carex,limosa,Carex limosa,no,no,24,0,,,,ok
1522,Cyperaceae,Carex,limosa,Carex limosa,no,no,34,0,,,,ok
1523,Cyperaceae,Carex,limosa,Carex limosa,no,no,36,0,,,,ok
1524,Cyperaceae,Carex,limosa,Carex limosa,no,no,39,0,,,,ok
1525,Cyperaceae,Carex,limosa,Carex limosa,no,no,153,,-,,,ok
1526,Cyperaceae,Carex,loliacea,Carex loliacea,Ps.end.,DS,14,,+,,,ok
1527,Cyperaceae,Carex,loliacea,Carex loliacea,no,no,10,0,,,,ok
1528,Cyperaceae,Carex,loliacea,Carex loliacea,no,no,153,,-,,,ok
1529,Cyperaceae,Carex,medwedewii,Carex medwedewii,no,no,95,0,,,,ok
1530,Cyperaceae,Carex,medwedewii,Carex medwedewii,no,no,96,0,,,,ok
1531,Cyperaceae,Carex,medwedewii,Carex medwedewii,no,no,99,0,,,,ok
1532,Cyperaceae,Carex,meinshauseniana,Carex meinshauseniana,no,no,101,0,,,,ok
1533,Cyperaceae,Carex,melanantha,Carex melanantha,no,no,141,0,,,,ok
1534,Cyperaceae,Carex,melanostachya,Carex melanostachya,no,no,96,0,,,,ok
1535,Cyperaceae,Carex,melanostachya,Carex melanostachya,no,no,153,,-,,,ok
1536,Cyperaceae,Carex,mollissima,Carex mollissima,no,no,39,0,,,,ok
1537,Cyperaceae,Carex,muricata,Carex muricata,no,no,34,0,,,,ok
1538,Cyperaceae,Carex,nigra,Carex nigra,no,no,153,,-,,,ok
1539,Cyperaceae,Carex,nigra,Carex nigra,no,no,154,0,,,,ok
1540,Cyperaceae,Carex,obtusata,Carex obtusata,no,no,3,,-,,,ok
1541,Cyperaceae,Carex,oederi,Carex oederi,no,no,39,0,,,,ok
1542,Cyperaceae,Carex,oederi,Carex oederi,no,no,153,,-,,,ok
1543,Cyperaceae,Carex,orbicularis,Carex orbicularis,no,no,142,0,,,,ok
1544,Cyperaceae,Carex,oreophila,Carex oreophila,Ps.end.,DS,101,25,,,,ok
1545,Cyperaceae,Carex,pachystylis,Carex pachystylis,no,no,39,0,,,,ok
1546,Cyperaceae,Carex,pachystylis,Carex pachystylis,no,no,53,0,,,,ok
1547,Cyperaceae,Carex,pachystylis,Carex pachystylis,no,no,56,0,,,,ok
1548,Cyperaceae,Carex,pachystylis,Carex pachystylis,no,no,62,0,,,,ok
1549,Cyperaceae,Carex,pachystylis,Carex pachystylis,no,no,74,0,,,,ok
1550,Cyperaceae,Carex,pachystylis,Carex pachystylis,no,no,83,0,,,,ok
1551,Cyperaceae,Carex,pachystylis,Carex pachystylis,no,no,145,0,,,,ok
1552,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,10,0,,,,ok
1553,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,13,0,,,,ok
1554,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,14,0,,,,ok
1555,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,29,0,,,,ok
1556,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,34,0,,,,ok
1557,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,35,0,,,,ok
1558,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,37,0,,,,ok
1559,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,39,0,,,,ok
1560,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,87,0,,,,ok
1561,Cyperaceae,Carex,pallescens,Carex pallescens,no,no,153,,-,,,ok
1562,Cyperaceae,Carex,panicea,Carex panicea,Ps.end.,DS,99,20,,,,ok
1563,Cyperaceae,Carex,panicea,Carex panicea,no,no,39,0,,,,ok
1564,Cyperaceae,Carex,panicea,Carex panicea,no,no,99,0,,,,ok
1565,Cyperaceae,Carex,panicea,Carex panicea,no,no,153,,-,,,ok
1566,Cyperaceae,Carex,pauciflora,Carex pauciflora,Ps.end.,DS,14,,+,,,ok
1567,Cyperaceae,Carex,pauciflora,Carex pauciflora,no,no,10,0,,,,ok
1568,Cyperaceae,Carex,pauciflora,Carex pauciflora,no,no,20,0,,,,ok
1569,Cyperaceae,Carex,pauciflora,Carex pauciflora,no,no,24,0,,,,ok
1570,Cyperaceae,Carex,pauciflora,Carex pauciflora,no,no,39,0,,,,ok
1571,Cyperaceae,Carex,pauciflora,Carex pauciflora,no,no,153,,-,,,ok
1572,Cyperaceae,Carex,pediformis,Carex pediformis,no,no,24,0,,,,ok
1573,Cyperaceae,Carex,pediformis,Carex pediformis,no,no,33,0,,,,ok
1574,Cyperaceae,Carex,pediformis,Carex pediformis,no,no,34,0,,,,ok
1575,Cyperaceae,Carex,pediformis,Carex pediformis,no,no,39,0,,,,ok
1576,Cyperaceae,Carex,pendula,Carex pendula,no,no,134,0,,,,ok
1577,Cyperaceae,Carex,physodes,Carex physodes,no,no,52,0,,,,ok
1578,Cyperaceae,Carex,physodes,Carex physodes,no,no,53,0,,,,ok
1579,Cyperaceae,Carex,physodes,Carex physodes,no,no,54,0,,,,ok
1580,Cyperaceae,Carex,physodes,Carex physodes,no,no,55,0,,,,ok
1581,Cyperaceae,Carex,physodes,Carex physodes,no,no,62,0,,,,ok
1582,Cyperaceae,Carex,physodes,Carex physodes,no,no,64,0,,,,ok
1583,Cyperaceae,Carex,physodes,Carex physodes,no,no,65,0,,,,ok
1584,Cyperaceae,Carex,physodes,Carex physodes,no,no,70,0,,,,ok
1585,Cyperaceae,Carex,physodes,Carex physodes,no,no,72,0,,,,ok
1586,Cyperaceae,Carex,pilosa,Carex pilosa,no,no,15,0,,,,ok
1587,Cyperaceae,Carex,pilosa,Carex pilosa,no,no,16,0,,,,ok
1588,Cyperaceae,Carex,pilosa,Carex pilosa,no,no,27,0,,,,ok
1589,Cyperaceae,Carex,pilulifera,Carex pilulifera,no,no,39,0,,,,ok
1590,Cyperaceae,Carex,polyphylla,Carex polyphylla,no,no,145,0,,,,ok
1591,Cyperaceae,Carex,praecox,Carex praecox,no,no,30,0,,,,ok
1592,Cyperaceae,Carex,praecox,Carex praecox,no,no,33,0,,,,ok
1593,Cyperaceae,Carex,praecox,Carex praecox,no,no,34,0,,,,ok
1594,Cyperaceae,Carex,praecox,Carex praecox,no,no,38,0,,,,ok
1595,Cyperaceae,Carex,praecox,Carex praecox,no,no,151,0,,,,ok
1596,Cyperaceae,Carex,pseudocyperus,Carex pseudocyperus,no,no,39,0,,,,ok
1597,Cyperaceae,Carex,pseudofoetida,Carex pseudofoetida,no,no,143,0,,,,ok
1598,Cyperaceae,Carex,pyrenaica,Carex pyrenaica,no,no,131,0,,,,ok
1599,Cyperaceae,Carex,rhizina,Carex rhizina,no,no,25,0,,,,ok
1600,Cyperaceae,Carex,rhizina,Carex rhizina,no,no,33,0,,,,ok
1601,Cyperaceae,Carex,rhizina,Carex rhizina,no,no,39,0,,,,ok
1602,Cyperaceae,Carex,rhynchophysa,Carex rhynchophysa,no,no,10,0,,,,ok
1603,Cyperaceae,Carex,rhynchophysa,Carex rhynchophysa,no,no,14,0,,,,ok
1604,Cyperaceae,Carex,rhynchophysa,Carex rhynchophysa,no,no,20,0,,,,ok
1605,Cyperaceae,Carex,rhynchophysa,Carex rhynchophysa,no,no,89,0,,,,ok
1606,Cyperaceae,Carex,rostrata,Carex rostrata,no,no,3,,-,,,ok
1607,Cyperaceae,Carex,rostrata,Carex rostrata,no,no,14,0,,,,ok
1608,Cyperaceae,Carex,rostrata,Carex rostrata,no,no,24,0,,,,ok
1609,Cyperaceae,Carex,rostrata,Carex rostrata,no,no,34,0,,,,ok
